@relation farmacia_ventas-weka.filters.unsupervised.attribute.DateToNumeric-Rfirst-last-weka.filters.unsupervised.attribute.DateToNumeric-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute precio numeric
@attribute cantidad numeric
@attribute precioUnitario numeric
@attribute nivelDemanda {baja,media,alta}

@data
37606,72,35566.24,media
16534,12,15135.16,baja
34127,162,32691.97,alta
45397,33,42321.09,baja
30851,48,33502.32,baja
6016,151,6386.73,alta
29253,62,30033.49,media
29276,37,31450.98,baja
28247,99,29962.57,media
29300,172,27463.3,alta
13529,104,14591.19,media
22262,35,22437.17,baja
14268,193,15145.31,alta
26271,101,28352.14,media
17185,175,16559.48,alta
26243,131,24196.32,media
44099,1,41699.44,baja
13571,5,13373.16,baja
44976,142,47836.61,alta
43044,103,46149.46,media
45774,27,41260.25,baja
7568,137,7584.27,alta
7027,15,6910.93,baja
7695,90,7267.32,media
10258,42,9478.12,baja
27002,124,26125.06,media
44504,179,48446.25,alta
38159,63,36809.72,media
18986,96,19057.35,media
17666,52,18383.31,media
43660,96,42469.21,media
8561,132,9368.79,media
31854,151,34800.16,alta
43952,143,41770.07,alta
27662,171,27646.78,alta
13392,29,12858.67,baja
21345,88,22156.43,media
39876,165,38421.87,alta
11234,18,10987.52,baja
33567,115,35124.89,media
8943,156,9234.76,alta
42189,41,40567.23,baja
25678,73,26345.91,media
19234,145,18976.34,alta
36712,54,35289.67,media
14567,23,14123.45,baja
40123,188,41876.92,alta
28934,67,29567.81,media
9876,12,9543.21,baja
32456,139,33789.45,alta
15789,91,16234.78,media
41567,38,39876.54,baja
6789,167,7123.89,alta
24567,78,25234.67,media
35678,28,34567.89,baja
12345,119,13456.78,media
46789,176,45678.91,alta
20123,46,21234.56,baja
30456,102,31567.89,media
18765,154,19876.54,alta
37234,59,36123.45,media
10987,8,10234.56,baja
43210,183,44321.09,alta
26789,85,27890.12,media
14890,31,15123.67,baja
39012,148,40234.78,alta
22890,95,23567.89,media
48123,44,46789.01,baja
7234,162,7890.12,alta
33890,71,34901.23,media
16890,19,16234.56,baja
41890,127,43012.34,media
9012,181,9678.90,alta
29890,53,30789.01,media
38567,36,37234.56,baja
11890,108,12456.78,media
45123,169,46890.12,alta
23456,64,24567.89,media
34890,25,33456.78,baja
8234,144,8901.23,alta
31234,89,32345.67,media
19567,14,18890.12,baja
42567,158,43678.90,alta
27234,76,28456.78,media
13678,49,14789.01,baja
36234,136,37567.89,media
10456,192,11234.56,alta
40890,58,39567.89,media
24890,21,23678.90,baja
47234,173,48901.23,alta
21678,93,22890.12,media
15234,39,16456.78,baja
35234,121,36789.01,media
12678,166,13890.12,alta
44567,68,45789.01,media
28456,17,27234.56,baja
39456,152,40678.90,alta
18234,81,19456.78,media
32890,32,31678.90,baja
6456,178,7012.34,alta
25234,97,26456.78,media
17892,56,18345.67,media
42378,186,43567.89,alta
13456,24,13789.01,baja
35789,110,36901.23,media
9345,149,10123.45,alta
43789,47,42345.67,baja
26890,82,27678.90,media
20567,160,21456.78,alta
37890,69,38567.89,media
11678,10,11890.12,baja
45890,174,46234.56,alta
24123,94,25345.67,media
16234,35,17123.45,baja
38901,138,39789.01,alta
22456,87,23234.56,media
14123,51,15012.34,baja
33234,125,34456.78,media
7890,168,8456.78,alta
31567,61,32456.89,media
40456,26,39234.56,baja
12890,116,13678.90,media
46234,189,47890.12,alta
21890,74,22678.90,media
15678,20,16345.67,baja
36456,146,37678.90,alta
19890,83,20567.89,media
42901,40,41123.45,baja
27890,133,28678.90,media
10234,177,11012.34,alta
39234,66,40123.45,media
24234,13,23456.78,baja
44234,155,45456.78,alta
29456,92,30234.56,media
18456,45,19234.56,baja
34567,128,35678.90,media
8678,170,9345.67,alta
30234,75,31234.56,media
41234,30,40012.34,baja
13890,105,14567.89,media
47890,184,48567.89,alta
23678,79,24456.78,media
17234,22,18012.34,baja
37456,141,38234.56,alta
20890,98,21678.90,media
15456,50,16123.45,baja
35890,122,36567.89,media
11456,163,12234.56,alta
43567,70,44678.90,media
28678,16,27890.12,baja
39678,150,40890.12,alta
22678,86,23678.90,media
16678,34,17456.78,baja
32678,134,33890.12,media
6234,180,6890.12,alta
26456,100,27234.56,media
38234,43,37012.34,baja
10678,112,11456.78,media
45456,187,46678.90,alta
24678,65,25567.89,media
19123,11,18234.56,baja
34234,153,35234.56,alta
14456,89,15345.67,media
42123,37,40789.01,baja
27456,126,28234.56,media
9567,172,10345.67,alta
31890,77,32678.90,media
40678,29,39456.78,baja
13234,107,14234.56,media
46890,190,47234.56,alta
22234,84,23123.45,media
17890,48,18678.90,baja
36890,140,37890.12,alta
21234,91,22345.67,media
15890,25,16789.01,baja
33678,118,34789.01,media
8890,165,9567.89,alta
30678,72,31456.78,media
41678,19,40345.67,baja
12456,109,13234.56,media
47456,182,48234.56,alta
23890,80,24678.90,media
18890,36,19567.89,baja
35456,135,36234.56,media
10890,175,11678.90,alta
44890,63,45234.56,media
29678,9,28456.78,baja
38678,157,39567.89,alta
19678,88,20456.78,media
43234,42,42012.34,baja
26234,129,27012.34,media
7456,171,8234.56,alta
32234,76,33234.56,media
40234,28,38890.12,baja
14678,114,15456.78,media
46456,185,47567.89,alta
21456,67,22567.89,media
16456,15,17234.56,baja
37678,147,38890.12,alta
20234,96,21012.34,media
42890,39,41567.89,baja
28890,123,29789.01,media
11234,179,12012.34,alta
39890,62,40456.78,media
25890,7,24789.01,baja
45234,159,46012.34,alta
30890,93,31890.12,media
19456,44,20234.56,baja
34456,130,35456.78,media
9234,176,10012.34,alta
31123,78,32012.34,media
41456,33,40123.45,baja
13678,111,14456.78,media
48234,191,49123.45,alta
23234,81,24234.56,media
18123,27,19123.45,baja
36678,143,37234.56,alta
22012,99,22789.01,media
15123,52,16012.34,baja
35012,126,36123.45,media
8456,168,9234.56,alta
30012,73,30789.01,media
42456,23,41234.56,baja
14234,106,15123.45,media
47678,188,48890.12,alta
24456,85,25456.78,media
19234,38,20123.45,baja
33456,137,34567.89,media
7678,174,8345.67,alta
27678,90,28567.89,media
39123,31,38234.56,baja
12234,117,13012.34,media
46678,183,47345.67,alta
22890,71,23890.12,media
17456,20,18456.78,baja
37012,149,38012.34,alta
21012,87,21890.12,media
43890,46,42678.90,baja
29012,132,30123.45,media
10012,180,10789.01,alta
40012,64,39678.90,media
25456,12,24234.56,baja
45678,156,46456.78,alta
31456,94,32567.89,media
20456,41,21345.67,baja
34678,124,35789.01,media
9678,170,10456.78,alta
28012,79,28890.12,media
38890,26,37567.89,baja
13012,108,13789.01,media
47012,186,48123.45,alta
23012,83,23567.89,media
18678,35,19345.67,baja
36012,139,37012.34,media
11012,175,11234.56,alta
44234,68,45012.34,media
30234,14,29234.56,baja
39345,151,40234.56,alta
24012,92,24890.12,media
42678,37,41890.12,baja
27012,127,28012.34,media
8012,172,8678.90,alta
32012,75,32890.12,media
41012,24,39890.12,baja
15012,110,15789.01,media
46012,189,47012.34,alta
21678,82,22456.78,media
17012,49,17890.12,baja
35678,144,36890.12,media
10234,178,10901.23,alta
43456,69,44234.56,media
29234,11,28123.45,baja
38456,154,39234.56,alta
22456,89,23345.67,media
16012,32,16678.90,baja
33012,133,34234.56,media
7234,181,7901.23,alta
31678,77,32345.67,media
40890,29,39567.89,baja
14890,113,15567.89,media
48890,192,49890.12,alta
25012,84,25789.01,media
19890,40,20678.90,baja
34012,136,35012.34,media
9890,173,10567.89,alta
30456,72,31234.56,media
42234,21,40567.89,baja
13456,105,14345.67,media
47234,187,48456.78,alta
23678,86,24567.89,media
18234,36,19012.34,baja
37234,142,38456.78,alta
21890,95,22678.90,media
15678,47,16456.78,baja
35890,128,36678.90,media
11678,169,12456.78,alta
45012,66,46234.56,media
29890,13,28678.90,baja
39678,158,40567.89,alta
24890,91,25678.90,media
43012,43,41789.01,baja
28234,125,29234.56,media
10678,176,11345.67,alta
40234,74,40890.12,media
26678,18,25456.78,baja
46234,161,47678.90,alta
22678,88,23456.78,media
17678,34,18234.56,baja
36234,131,37456.78,media
8890,177,9456.78,alta
32456,80,33456.78,media
41890,30,40234.56,baja
14012,115,14890.12,media
48456,190,49456.78,alta
24234,76,25234.56,media
19012,25,19678.90,baja
33890,145,34890.12,media
9456,171,10234.56,alta
31012,70,31890.12,media
42012,19,40678.90,baja
13890,109,14678.90,media
47890,185,48678.90,alta
23456,83,24345.67,media
18456,38,19234.56,baja
37890,138,38678.90,alta
22234,97,23012.34,media
16234,51,17012.34,baja
35234,122,36345.67,media
7890,167,8567.89,alta
27234,87,28123.45,media
39234,33,38345.67,baja
12678,116,13456.78,media
46890,182,47890.12,alta
21234,78,22234.56,media
15234,22,16234.56,baja
36678,148,37567.89,alta
20678,93,21567.89,media
43678,45,42456.78,baja
28678,130,29567.89,media
11234,174,12123.45,alta
40456,65,41234.56,media
25678,10,24567.89,baja
45890,160,46789.01,alta
30678,94,31678.90,media
19678,42,20456.78,baja
34890,127,35890.12,media
8678,179,9345.67,alta
32890,81,33678.90,media
